resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_dram_accesses,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_mac_pj,energy_sram_pj,energy_dram_pj,energy_total_pj,energy_total_mj
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,128,128,50,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,33868.0,33663.0,0.0,1693400.0,0.0,7372800,9888000.0,8299200.0,0.0267355850637198,0.78125,0.0267347908745246,0.0015187500000000001,1474560.0,49440000.0,829920000.0,880834560.0,0.88083456
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33888.0,33663.0,0.0,1694400.0,0.0,14745600,10764800.0,9118400.0,0.0534711701274396,1.5625,0.0534695817490493,0.0015187500000000001,2949120.0,53824000.0,911840000.0,968613120.0,0.96861312
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,128,128,120,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,33868.0,33663.0,0.0,4064160.0,0.0,17694720,23731200.0,19918080.0,0.0267355850637198,0.78125,0.0267347908745246,0.0034171875,3538944.0,118656000.0,1991808000.0,2114002944.0,2.114002944
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33888.0,33663.0,0.0,4066560.0,0.0,35389440,25835520.0,21884160.0,0.0534711701274396,1.5625,0.0534695817490493,0.0034171875,7077888.0,129177600.0,2188416000.0,2324671488.0,2.324671488
hires,2048,2048,128,128,3,128,4096,800.0,os,run_000bc31c040e,5b026b93f508,cf8a272099f0,full,128,128,256,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,33868.0,33663.0,0.0,8670208.0,0.0,37748736,50626560.0,42491904.0,0.0267355850637198,0.78125,0.0267347908745246,0.006912,7549747.2,253132800.0,4249190400.0,4509872947.2,4.5098729472
hires,2048,2048,128,128,3,128,4096,800.0,os,run_000bc31c040e,5b026b93f508,cf8a272099f0,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33888.0,33663.0,0.0,8675328.0,0.0,75497472,55115776.0,46686208.0,0.0534711701274396,1.5625,0.0534695817490493,0.006912,15099494.4,275578880.0,4668620800.0,4959299174.4,4.9592991744
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,22651.0,22319.0,0.0,226510.0,0.0,2560000,2887200.0,2694400.0,0.0700076168287109,0.78125,0.0700044802867382,0.00241875,512000.0,14436000.0,269440000.0,284388000.0,0.284388
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,21180.0,21039.0,0.0,211800.0,0.0,1843200,1345600.0,1148800.0,0.0534721231997718,1.5625,0.0534695817490493,0.00241875,368640.0,6728000.0,114880000.0,121976640.0,0.12197664
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,11992.0,7261.0,0.0,179880.0,0.0,967680,1075335.0,3553020.0,0.867649084148189,0.87890625,0.8638420403126285,0.054675,193536.0,5376675.0,355302000.0,360872211.0,0.360872211
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,12135.0,7261.0,0.0,182025.0,0.0,1935360,1182990.0,3660540.0,1.735298168296378,1.7578125,1.727684080625257,0.054675,387072.0,5914950.0,366054000.0,372356022.0,0.372356022
