resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,8,256,50.0,os,gaussian,6161880.0,6.17962248,12365265.0,12.592369439999999,49.832171004826826,49.07434227882692
1080p,1920,1080,128,128,3,8,256,50.0,os,sobel,6203385.0,6.41274696,12365265.0,12.592369439999999,50.16782899517317,50.92565772117309
1080p,1920,1080,128,128,3,8,256,50.0,ws,gaussian,4394925.0,2.8309565549999998,8731515.0,6.101107665,50.334048558583476,46.400698208298216
1080p,1920,1080,128,128,3,8,256,50.0,ws,sobel,4336590.0,3.27015111,8731515.0,6.101107665,49.665951441416524,53.59930179170179
1080p,1920,1080,128,128,3,8,256,200.0,os,gaussian,6011535.0,6.1908724799999995,12033450.0,12.61486944,49.956870224249904,49.07599329066064
1080p,1920,1080,128,128,3,8,256,200.0,os,sobel,6021915.0,6.42399696,12033450.0,12.61486944,50.043129775750096,50.92400670933935
1080p,1920,1080,128,128,3,8,256,200.0,ws,gaussian,4213455.0,2.836206555,8412390.0,6.111607664999999,50.08630127704493,46.40688196073856
1080p,1920,1080,128,128,3,8,256,200.0,ws,sobel,4198935.0,3.27540111,8412390.0,6.111607664999999,49.91369872295507,53.59311803926145
1080p,1920,1080,128,128,3,8,256,800.0,os,gaussian,5973975.0,6.21877248,11950485.0,12.670669440000001,49.98939373590277,49.080062497471324
1080p,1920,1080,128,128,3,8,256,800.0,os,sobel,5976510.0,6.45189696,11950485.0,12.670669440000001,50.010606264097234,50.91993750252867
1080p,1920,1080,128,128,3,8,256,800.0,ws,gaussian,4168050.0,2.852106555,8332530.0,6.143407665,50.02142206508707,46.42548094681912
1080p,1920,1080,128,128,3,8,256,800.0,ws,sobel,4164480.0,3.29130111,8332530.0,6.143407665,49.97857793491293,53.57451905318089
1080p,1920,1080,128,128,3,8,1024,50.0,os,gaussian,6376215.0,2.2153474799999997,12793935.0,4.663819439999999,49.837794236097025,47.50071284920928
1080p,1920,1080,128,128,3,8,1024,50.0,os,sobel,6417720.0,2.44847196,12793935.0,4.663819439999999,50.162205763902975,52.49928715079073
1080p,1920,1080,128,128,3,8,1024,50.0,ws,gaussian,4836825.0,3.538506555,9756555.0,7.5162076650000005,49.575131796007916,47.07835004981864
