resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_dram_accesses,energy_mac_pj,energy_sram_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,43638300.0,11197440.0,267948000.0,4363830000.0,4642975440.0,0.054675,10.072335,0.0,4.64297544,46.7656040284524,0.1392892632,33,True,0.14069622545454546
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,43638300.0,11197440.0,267948000.0,4363830000.0,4642975440.0,0.054675,10.072335,0.0,4.64297544,46.7656040284524,0.1392892632,100,True,0.0464297544
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,43638300.0,11197440.0,267948000.0,4363830000.0,4642975440.0,0.054675,10.072335,0.0,4.64297544,46.7656040284524,0.1392892632,200,True,0.0232148772
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,76877550.0,17832960.0,439020000.0,7687755000.0,8144607960.0,0.087075,11.77257,0.0,8.14460796,95.8829673316572,0.2443382388,33,True,0.24680630181818183
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,76877550.0,17832960.0,439020000.0,7687755000.0,8144607960.0,0.087075,11.77257,0.0,8.14460796,95.8829673316572,0.2443382388,100,True,0.0814460796
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,76877550.0,17832960.0,439020000.0,7687755000.0,8144607960.0,0.087075,11.77257,0.0,8.14460796,95.8829673316572,0.2443382388,200,True,0.0407230398
1080p,1920,1080,128,128,7,32,4096,50.0,os,14323185.0,0.0,138931200,139125600.0,126756300.0,27786240.0,695628000.0,12675630000.0,13399044240.0,0.13567500000000002,14.323185,0.0,13.39904424,191.91698947270442,0.4019713272,33,True,0.4060316436363636
1080p,1920,1080,128,128,7,32,4096,50.0,os,14323185.0,0.0,138931200,139125600.0,126756300.0,27786240.0,695628000.0,12675630000.0,13399044240.0,0.13567500000000002,14.323185,0.0,13.39904424,191.91698947270442,0.4019713272,100,True,0.1339904424
1080p,1920,1080,128,128,7,32,4096,50.0,os,14323185.0,0.0,138931200,139125600.0,126756300.0,27786240.0,695628000.0,12675630000.0,13399044240.0,0.13567500000000002,14.323185,0.0,13.39904424,191.91698947270442,0.4019713272,200,True,0.0669952212
1080p,1920,1080,128,128,11,128,256,50.0,ws,7616715.0,2924310.0,288230400,275807565.0,284720550.0,57646080.0,1379037825.0,28472055000.0,29908738905.0,0.041472,7.616714999999999,38.39332310582712,29.908738905,227.80634024879706,0.89726216715,33,True,0.9063254213636364
1080p,1920,1080,128,128,11,128,256,50.0,ws,7616715.0,2924310.0,288230400,275807565.0,284720550.0,57646080.0,1379037825.0,28472055000.0,29908738905.0,0.041472,7.616714999999999,38.39332310582712,29.908738905,227.80634024879706,0.89726216715,100,True,0.29908738905
