resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,gaussian_k3,gaussian,accelerator.mac_array,mac,7372800.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,gaussian_k3,gaussian,accelerator.ifmap_sram,read,7372800.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,gaussian_k3,gaussian,accelerator.filter_sram,read,57600.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,gaussian_k3,gaussian,accelerator.ofmap_sram,write,2457600.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,gaussian_k3,gaussian,accelerator.ifmap_dram,read,7400000.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,gaussian_k3,gaussian,accelerator.filter_dram,read,80000.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,gaussian_k3,gaussian,accelerator.ofmap_dram,write,819200.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,sobel_3x3,sobel,accelerator.mac_array,mac,14745600.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,sobel_3x3,sobel,accelerator.ifmap_sram,read,7372800.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,sobel_3x3,sobel,accelerator.filter_sram,read,115200.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,sobel_3x3,sobel,accelerator.ofmap_sram,write,3276800.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,sobel_3x3,sobel,accelerator.ifmap_dram,read,7400000.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,sobel_3x3,sobel,accelerator.filter_dram,read,80000.0
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,sobel_3x3,sobel,accelerator.ofmap_dram,write,1638400.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,gaussian_k3,gaussian,accelerator.mac_array,mac,17694720.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,gaussian_k3,gaussian,accelerator.ifmap_sram,read,17694720.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,gaussian_k3,gaussian,accelerator.filter_sram,read,138240.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,gaussian_k3,gaussian,accelerator.ofmap_sram,write,5898240.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,gaussian_k3,gaussian,accelerator.ifmap_dram,read,17760000.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,gaussian_k3,gaussian,accelerator.filter_dram,read,192000.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,gaussian_k3,gaussian,accelerator.ofmap_dram,write,1966080.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,sobel_3x3,sobel,accelerator.mac_array,mac,35389440.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,sobel_3x3,sobel,accelerator.ifmap_sram,read,17694720.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,sobel_3x3,sobel,accelerator.filter_sram,read,276480.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,sobel_3x3,sobel,accelerator.ofmap_sram,write,7864320.0
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,sobel_3x3,sobel,accelerator.ifmap_dram,read,17760000.0
