resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,energy_backend,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,8,256,50.0,os,gaussian,6161880.0,9.804068352,accelergy,12365265.0,19.966237056,49.832171004826826,49.1032352490967
1080p,1920,1080,128,128,3,8,256,50.0,os,sobel,6203385.0,10.162168704,accelergy,12365265.0,19.966237056,50.16782899517317,50.8967647509033
1080p,1920,1080,128,128,3,8,256,50.0,ws,gaussian,4394925.0,4.459418427,accelergy,8731515.0,9.607423280999999,50.334048558583476,46.41638342113138
1080p,1920,1080,128,128,3,8,256,50.0,ws,sobel,4336590.0,5.148004854,accelergy,8731515.0,9.607423280999999,49.665951441416524,53.58361657886863
1080p,1920,1080,128,128,3,8,256,200.0,os,gaussian,6011535.0,9.822068352,accelergy,12033450.0,20.002237056,49.956870224249904,49.10484924511836
1080p,1920,1080,128,128,3,8,256,200.0,os,sobel,6021915.0,10.180168704,accelergy,12033450.0,20.002237056,50.043129775750096,50.89515075488165
1080p,1920,1080,128,128,3,8,256,200.0,ws,gaussian,4213455.0,4.467818427,accelergy,8412390.0,9.624223280999999,50.08630127704493,46.422638965788565
1080p,1920,1080,128,128,3,8,256,200.0,ws,sobel,4198935.0,5.156404854,accelergy,8412390.0,9.624223280999999,49.91369872295507,53.57736103421145
1080p,1920,1080,128,128,3,8,256,800.0,os,gaussian,5973975.0,9.866708352,accelergy,11950485.0,20.091517056,49.98939373590277,49.10882699648342
1080p,1920,1080,128,128,3,8,256,800.0,os,sobel,5976510.0,10.224808704,accelergy,11950485.0,20.091517056,50.010606264097234,50.89117300351658
1080p,1920,1080,128,128,3,8,256,800.0,ws,gaussian,4168050.0,4.493258427,accelergy,8332530.0,9.675103281,50.02142206508707,46.44145180159343
1080p,1920,1080,128,128,3,8,256,800.0,ws,sobel,4164480.0,5.181844854,accelergy,8332530.0,9.675103281,49.97857793491293,53.55854819840656
1080p,1920,1080,128,128,3,8,1024,50.0,os,gaussian,6376215.0,3.461228352,accelergy,12793935.0,7.280557056,49.837794236097025,47.5407077422401
1080p,1920,1080,128,128,3,8,1024,50.0,os,sobel,6417720.0,3.819328704,accelergy,12793935.0,7.280557056,50.162205763902975,52.459292257759905
1080p,1920,1080,128,128,3,8,1024,50.0,ws,gaussian,4836825.0,5.591498427,accelergy,9756555.0,11.871583281,49.575131796007916,47.09985428775092
1080p,1920,1080,128,128,3,8,1024,50.0,ws,sobel,4919730.0,6.280084853999999,accelergy,9756555.0,11.871583281,50.42486820399209,52.90014571224907
1080p,1920,1080,128,128,3,8,1024,200.0,os,gaussian,6065115.0,3.465428352,accelergy,12140610.0,7.288957055999999,49.95725091243356,47.54354190010473
1080p,1920,1080,128,128,3,8,1024,200.0,os,sobel,6075495.0,3.8235287039999997,accelergy,12140610.0,7.288957055999999,50.04274908756644,52.45645809989527
1080p,1920,1080,128,128,3,8,1024,200.0,ws,gaussian,4323960.0,5.596778427,accelergy,8668680.0,11.882143281000001,49.88025858608231,47.10243173005212
