resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,8,256,50.0,os,12365265.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,122869800.0,116622000.0,27000.0,6220800.0,12877056.0,186624000.0,34992000.0,72576000.0,294192000.0,18659520000.0,4320000.0,995328000.0,19659168000.0,19966237056.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,12.365265,64,791376960.0,0.0,19.966237056,246.88781225025986,0.59898711168,33,True,0.6050374865454546
1080p,1920,1080,128,128,3,8,256,50.0,os,12365265.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,122869800.0,116622000.0,27000.0,6220800.0,12877056.0,186624000.0,34992000.0,72576000.0,294192000.0,18659520000.0,4320000.0,995328000.0,19659168000.0,19966237056.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,12.365265,64,791376960.0,0.0,19.966237056,246.88781225025986,0.59898711168,100,True,0.19966237056
1080p,1920,1080,128,128,3,8,256,50.0,os,12365265.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,122869800.0,116622000.0,27000.0,6220800.0,12877056.0,186624000.0,34992000.0,72576000.0,294192000.0,18659520000.0,4320000.0,995328000.0,19659168000.0,19966237056.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,12.365265,64,791376960.0,0.0,19.966237056,246.88781225025986,0.59898711168,200,True,0.09983118528
1080p,1920,1080,128,128,3,8,256,50.0,ws,8731515.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58410600.0,45942000.0,27000.0,12441600.0,12877056.0,186624000.0,18225.0,62208000.0,248850225.0,7350720000.0,4320000.0,1990656000.0,9345696000.0,9607423281.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.731515,64,558816960.0,0.0,9.607423281,83.88736048940072,0.28822269843,33,True,0.29113403881818184
1080p,1920,1080,128,128,3,8,256,50.0,ws,8731515.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58410600.0,45942000.0,27000.0,12441600.0,12877056.0,186624000.0,18225.0,62208000.0,248850225.0,7350720000.0,4320000.0,1990656000.0,9345696000.0,9607423281.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.731515,64,558816960.0,0.0,9.607423281,83.88736048940072,0.28822269843,100,True,0.09607423281
1080p,1920,1080,128,128,3,8,256,50.0,ws,8731515.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58410600.0,45942000.0,27000.0,12441600.0,12877056.0,186624000.0,18225.0,62208000.0,248850225.0,7350720000.0,4320000.0,1990656000.0,9345696000.0,9607423281.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.731515,64,558816960.0,0.0,9.607423281,83.88736048940072,0.28822269843,200,True,0.048037116405
1080p,1920,1080,128,128,3,8,256,200.0,os,12033450.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123094800.0,116820000.0,54000.0,6220800.0,12877056.0,186624000.0,34992000.0,72576000.0,294192000.0,18691200000.0,8640000.0,995328000.0,19695168000.0,20002237056.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,12.03345,64,770140800.0,0.0,20.002237056,240.69591950152318,0.60006711168,33,True,0.6061283956363637
1080p,1920,1080,128,128,3,8,256,200.0,os,12033450.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123094800.0,116820000.0,54000.0,6220800.0,12877056.0,186624000.0,34992000.0,72576000.0,294192000.0,18691200000.0,8640000.0,995328000.0,19695168000.0,20002237056.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,12.03345,64,770140800.0,0.0,20.002237056,240.69591950152318,0.60006711168,100,True,0.20002237056
1080p,1920,1080,128,128,3,8,256,200.0,os,12033450.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123094800.0,116820000.0,54000.0,6220800.0,12877056.0,186624000.0,34992000.0,72576000.0,294192000.0,18691200000.0,8640000.0,995328000.0,19695168000.0,20002237056.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,12.03345,64,770140800.0,0.0,20.002237056,240.69591950152318,0.60006711168,200,True,0.10001118528
1080p,1920,1080,128,128,3,8,256,200.0,ws,8412390.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58515600.0,46020000.0,54000.0,12441600.0,12877056.0,186624000.0,18225.0,62208000.0,248850225.0,7363200000.0,8640000.0,1990656000.0,9362496000.0,9624223281.0,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.41239,64,538392960.0,0.0,9.624223281,80.9627196868516,0.28872669843,33,True,0.29164312972727274
