resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,186624000.0,8748000.0,72576000.0,267948000.0,5973840000.0,12960000.0,995328000.0,6982128000.0,7262953056.0,0.054675,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,10.072335,1024,10314071040.0,0.0,7.262953056,73.15489626930577,0.21788859168,33,True,0.22008948654545457
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,186624000.0,8748000.0,72576000.0,267948000.0,5973840000.0,12960000.0,995328000.0,6982128000.0,7262953056.0,0.054675,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,10.072335,1024,10314071040.0,0.0,7.262953056,73.15489626930577,0.21788859168,100,True,0.07262953056
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,186624000.0,8748000.0,72576000.0,267948000.0,5973840000.0,12960000.0,995328000.0,6982128000.0,7262953056.0,0.054675,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,10.072335,1024,10314071040.0,0.0,7.262953056,73.15489626930577,0.21788859168,200,True,0.03631476528
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76877550.0,70508250.0,148500.0,6220800.0,20507904.0,352512000.0,13932000.0,72576000.0,439020000.0,11281320000.0,23760000.0,995328000.0,12300408000.0,12759935904.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11.77257,1024,12055111680.0,0.0,12.759935904,150.21723862535327,0.38279807712,33,True,0.38666472436363636
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76877550.0,70508250.0,148500.0,6220800.0,20507904.0,352512000.0,13932000.0,72576000.0,439020000.0,11281320000.0,23760000.0,995328000.0,12300408000.0,12759935904.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11.77257,1024,12055111680.0,0.0,12.759935904,150.21723862535327,0.38279807712,100,True,0.12759935904
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76877550.0,70508250.0,148500.0,6220800.0,20507904.0,352512000.0,13932000.0,72576000.0,439020000.0,11281320000.0,23760000.0,995328000.0,12300408000.0,12759935904.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11.77257,1024,12055111680.0,0.0,12.759935904,150.21723862535327,0.38279807712,200,True,0.06379967952
1080p,1920,1080,128,128,7,32,4096,50.0,os,14323185.0,0.0,138931200,139125600.0,120268800.0,4341600.0,14515200.0,126756300.0,120279000.0,256500.0,6220800.0,31954176.0,601344000.0,21708000.0,72576000.0,695628000.0,19244640000.0,41040000.0,995328000.0,20281008000.0,21008590176.0,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,14.323185,1024,14666941440.0,0.0,21.008590176,300.90992368003054,0.63025770528,33,True,0.6366239447272727
1080p,1920,1080,128,128,7,32,4096,50.0,os,14323185.0,0.0,138931200,139125600.0,120268800.0,4341600.0,14515200.0,126756300.0,120279000.0,256500.0,6220800.0,31954176.0,601344000.0,21708000.0,72576000.0,695628000.0,19244640000.0,41040000.0,995328000.0,20281008000.0,21008590176.0,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,14.323185,1024,14666941440.0,0.0,21.008590176,300.90992368003054,0.63025770528,100,True,0.21008590176
1080p,1920,1080,128,128,7,32,4096,50.0,os,14323185.0,0.0,138931200,139125600.0,120268800.0,4341600.0,14515200.0,126756300.0,120279000.0,256500.0,6220800.0,31954176.0,601344000.0,21708000.0,72576000.0,695628000.0,19244640000.0,41040000.0,995328000.0,20281008000.0,21008590176.0,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,14.323185,1024,14666941440.0,0.0,21.008590176,300.90992368003054,0.63025770528,200,True,0.10504295088
1080p,1920,1080,128,128,11,128,256,50.0,ws,7616715.0,2924310.0,288230400,275807565.0,269568000.0,18765.0,6220800.0,284720550.0,276535500.0,1964250.0,6220800.0,66292992.00000001,1347840000.0,93825.0,31104000.0,1379037825.0,44245680000.0,314280000.0,995328000.0,45555288000.0,47000618817.0,0.041472,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,7.616714999999999,16384,124792258560.0,38.39332310582712,47.000618817,357.99031835272615,1.41001856451,33,True,1.4242611762727273
