resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,systolic_array.PE[0..1023].mac,mac_random,967680.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_glb,read,967680.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_glb,read,135.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_glb,update,107520.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_dram,read,3441000.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_dram,read,4500.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_dram,write,107520.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..1023].mac,mac_random,1935360.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,967680.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,270.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,215040.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,3441000.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,4500.0
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,215040.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,gaussian_k7,gaussian,systolic_array.PE[0..1023].mac,mac_random,5017600.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,gaussian_k7,gaussian,systolic_array.ifmap_glb,read,5017600.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,gaussian_k7,gaussian,systolic_array.weights_glb,read,156800.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,gaussian_k7,gaussian,systolic_array.psum_glb,update,307200.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,gaussian_k7,gaussian,systolic_array.ifmap_dram,read,11840000.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,gaussian_k7,gaussian,systolic_array.weights_dram,read,16000.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,gaussian_k7,gaussian,systolic_array.psum_dram,write,102400.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..1023].mac,mac_random,1843200.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,57600.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,409600.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,928000.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,8000.0
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,204800.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,gaussian_k11,gaussian,systolic_array.PE[0..63].mac,mac_random,12390400.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,gaussian_k11,gaussian,systolic_array.ifmap_glb,read,12390400.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,gaussian_k11,gaussian,systolic_array.weights_glb,read,1548800.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,gaussian_k11,gaussian,systolic_array.psum_glb,update,1638400.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,gaussian_k11,gaussian,systolic_array.ifmap_dram,read,18876000.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,gaussian_k11,gaussian,systolic_array.weights_dram,read,2000.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,gaussian_k11,gaussian,systolic_array.psum_dram,write,1638400.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..63].mac,mac_random,1843200.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,230400.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,409600.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,922000.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,2000.0
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,409600.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.PE[0..16383].mac,mac_random,921600.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_glb,read,90.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_glb,update,102400.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_dram,read,1180000.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_dram,read,12000.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_dram,write,102400.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..16383].mac,mac_random,1843200.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,180.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,204800.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,1180000.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,12000.0
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,204800.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.PE[0..1023].mac,mac_random,967680.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_glb,read,967680.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_glb,read,30240.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_glb,update,107520.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.ifmap_dram,read,1767000.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.weights_dram,read,750.0
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,gaussian_k3,gaussian,systolic_array.psum_dram,write,107520.0
