resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_sram_ifmap_reads,scaled_sram_filter_reads,scaled_sram_ofmap_writes,scaled_dram_accesses,scaled_dram_ifmap_reads,scaled_dram_filter_reads,scaled_dram_ofmap_writes,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_backend,energy_model,mac_pj,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,sram_ifmap_read_pj_per_action,sram_filter_read_pj_per_action,sram_ofmap_write_pj_per_action,dram_ifmap_read_pj_per_action,dram_filter_read_pj_per_action,dram_ofmap_write_pj_per_action,accelergy_architecture,accelergy_action_count,accelergy_output_dir,accelergy_ert,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,energy_total_mj
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,11992.0,7261.0,0.0,179880.0,0.0,967680,1075335.0,967680.0,135.0,107520.0,3553020.0,3441000.0,4500.0,107520.0,0.867649084148189,0.87890625,0.8638420403126285,0.054675,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs/ERT.yaml,967680.0,7741440.0,1080.0,752640.0,8495160.0,3441000.0,4500.0,107520.0,3553020.0,13015860.0,0.01301586
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,12135.0,7261.0,0.0,182025.0,0.0,1935360,1182990.0,967680.0,270.0,215040.0,3660540.0,3441000.0,4500.0,215040.0,1.735298168296378,1.7578125,1.727684080625257,0.054675,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_4096_word_1/outputs/ERT.yaml,1935360.0,7741440.0,2160.0,1505280.0,9248880.0,3441000.0,4500.0,215040.0,3660540.0,14844780.0,0.01484478
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,128,80,10,gaussian_k7,gaussian,10240,1,49,501760,11524,10240,35827.0,35519.0,0.0,358270.0,0.0,5017600,5481600.0,5017600.0,156800.0,307200.0,11958400.0,11840000.0,16000.0,102400.0,1.3795433429995214,3.125,1.3795045045045031,0.0603,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_1024_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_1024_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_1024_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_1024_word_1/outputs/ERT.yaml,5017600.0,40140800.0,1254400.0,2150400.0,43545600.0,11840000.0,16000.0,102400.0,11958400.0,60521600.0,0.0605216
720p,1280,720,128,128,7,32,1024,800.0,os,run_0038849ef203,ef9217e2641e,0038849ef203,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,22860.0,22719.0,0.0,228600.0,0.0,1843200,1388800.0,921600.0,57600.0,409600.0,1140800.0,928000.0,8000.0,204800.0,0.7922883929750429,6.25,0.7922535211267554,0.0603,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_1024_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_1024_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_1024_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_1024_word_1/outputs/ERT.yaml,1843200.0,7372800.0,460800.0,2867200.0,10700800.0,928000.0,8000.0,204800.0,1140800.0,13684800.0,0.0136848
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,476577.0,471039.0,0.0,4765770.0,0.0,12390400,15577600.0,12390400.0,1548800.0,1638400.0,20516400.0,18876000.0,2000.0,1638400.0,4.110063073333631,94.53125,3.1510416666670613,2.0016000000000003,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_8_sram_4096_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_8_sram_4096_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_8_sram_4096_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_8_sram_4096_word_1/outputs/ERT.yaml,12390400.0,99123200.0,12390400.0,11468800.0,122982400.0,18876000.0,2000.0,1638400.0,20516400.0,155889200.0,0.1558892
720p,1280,720,128,128,11,8,4096,200.0,is,run_003a39b96511,b51f990f3d3a,003a39b96511,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,62104.0,61439.0,0.0,621040.0,0.0,1843200,1561600.0,921600.0,230400.0,409600.0,1333600.0,922000.0,2000.0,409600.0,4.687576295187096,56.25,3.62903225806457,2.0016000000000003,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_8_sram_4096_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_8_sram_4096_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_8_sram_4096_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_8_sram_4096_word_1/outputs/ERT.yaml,1843200.0,7372800.0,1843200.0,2867200.0,12083200.0,922000.0,2000.0,409600.0,1333600.0,15260000.0,0.01526
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,128,80,10,gaussian_k3,gaussian,10240,1,9,92160,10660,10240,10967.0,10621.0,0.0,109670.0,0.0,921600,1024090.0,921600.0,90.0,102400.0,1294400.0,1180000.0,12000.0,102400.0,0.0529611147726202,0.054931640625,0.052330449344125,0.004608,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/outputs/ERT.yaml,921600.0,7372800.0,720.0,716800.0,8090320.0,1180000.0,12000.0,102400.0,1294400.0,10306320.0,0.01030632
720p,1280,720,128,128,3,128,256,200.0,ws,run_0050c64c27cd,e28534cbdc85,0050c64c27cd,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,11018.0,10621.0,0.0,110180.0,0.0,1843200,1126580.0,921600.0,180.0,204800.0,1396800.0,1180000.0,12000.0,204800.0,0.1059222295452405,0.10986328125,0.10466089868825,0.004608,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_128_sram_256_word_1/outputs/ERT.yaml,1843200.0,7372800.0,1440.0,1433600.0,8807840.0,1180000.0,12000.0,204800.0,1396800.0,12047840.0,0.01204784
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,22600.0,21279.0,0.0,339000.0,0.0,967680,1105440.0,967680.0,30240.0,107520.0,1875270.0,1767000.0,750.0,107520.0,0.2960665444804737,28.125,0.2232142857142851,0.054675,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_256_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_256_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_256_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_256_word_1/outputs/ERT.yaml,967680.0,7741440.0,241920.0,752640.0,8736000.0,1767000.0,750.0,107520.0,1875270.0,11578950.0,0.01157895
1080p,1920,1080,128,128,3,32,256,50.0,is,run_005a9c27f92c,48a2fccaeb8d,005a9c27f92c,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,22967.0,21503.0,0.0,344505.0,0.0,1935360,1243200.0,967680.0,60480.0,215040.0,1983540.0,1767000.0,1500.0,215040.0,0.585964749104776,28.125,0.442913385826771,0.054675,accelergy_plugin,accelergy_component_library_table_plugin,1.0,8.0,7.0,1.0,1.0,8.0,8.0,7.0,1.0,1.0,1.0,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_256_word_1/inputs/architecture.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_256_word_1/inputs/action_count.yaml,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_256_word_1/outputs,outputs/summary_accelergy_plugin/accelergy_plugin/array_32_sram_256_word_1/outputs/ERT.yaml,1935360.0,7741440.0,483840.0,1505280.0,9730560.0,1767000.0,1500.0,215040.0,1983540.0,13649460.0,0.01364946
