resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,energy_backend,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,8,256,50.0,is,gaussian,12164985.0,0.31345934999999997,accelergy_plugin,24790035.0,0.6974210999999999,49.07207674373997,44.945492758965855
1080p,1920,1080,128,128,3,8,256,50.0,is,sobel,12625050.0,0.38396175,accelergy_plugin,24790035.0,0.6974210999999999,50.92792325626002,55.05450724103416
1080p,1920,1080,128,128,3,8,256,50.0,os,gaussian,6161880.0,0.2905677,accelergy_plugin,12365265.0,0.635049,49.832171004826826,45.7551622000822
1080p,1920,1080,128,128,3,8,256,50.0,os,sobel,6203385.0,0.3444813,accelergy_plugin,12365265.0,0.635049,50.16782899517317,54.2448377999178
1080p,1920,1080,128,128,3,8,256,50.0,ws,gaussian,4394925.0,0.22413342,accelergy_plugin,8731515.0,0.50011656,50.334048558583476,44.81623643896134
1080p,1920,1080,128,128,3,8,256,50.0,ws,sobel,4336590.0,0.27598314,accelergy_plugin,8731515.0,0.50011656,49.665951441416524,55.183763561038646
1080p,1920,1080,128,128,3,8,256,200.0,is,gaussian,11983515.0,0.3136386,accelergy_plugin,24470910.0,0.6977796,48.970451037578904,44.94808962600798
1080p,1920,1080,128,128,3,8,256,200.0,is,sobel,12487395.0,0.384141,accelergy_plugin,24470910.0,0.6977796,51.02954896242109,55.051910373992015
1080p,1920,1080,128,128,3,8,256,200.0,os,gaussian,6011535.0,0.2906802,accelergy_plugin,12033450.0,0.635274,49.956870224249904,45.75666562774488
1080p,1920,1080,128,128,3,8,256,200.0,os,sobel,6021915.0,0.3445938,accelergy_plugin,12033450.0,0.635274,50.043129775750096,54.24333437225513
1080p,1920,1080,128,128,3,8,256,200.0,ws,gaussian,4213455.0,0.22418591999999998,accelergy_plugin,8412390.0,0.50022156,50.08630127704493,44.81732454714667
1080p,1920,1080,128,128,3,8,256,200.0,ws,sobel,4198935.0,0.27603563999999997,accelergy_plugin,8412390.0,0.50022156,49.91369872295507,55.18267545285334
1080p,1920,1080,128,128,3,8,256,800.0,is,gaussian,11938110.0,0.3140376,accelergy_plugin,24391050.0,0.6985775999999999,48.9446333798668,44.95386053031188
1080p,1920,1080,128,128,3,8,256,800.0,is,sobel,12452940.0,0.38454,accelergy_plugin,24391050.0,0.6985775999999999,51.0553666201332,55.04613946968813
1080p,1920,1080,128,128,3,8,256,800.0,os,gaussian,5973975.0,0.2909592,accelergy_plugin,11950485.0,0.635832,49.98939373590277,45.760389536858796
1080p,1920,1080,128,128,3,8,256,800.0,os,sobel,5976510.0,0.3448728,accelergy_plugin,11950485.0,0.635832,50.010606264097234,54.239610463141204
1080p,1920,1080,128,128,3,8,256,800.0,ws,gaussian,4168050.0,0.22434492,accelergy_plugin,8332530.0,0.50053956,50.02142206508707,44.820617175593476
1080p,1920,1080,128,128,3,8,256,800.0,ws,sobel,4164480.0,0.27619464000000005,accelergy_plugin,8332530.0,0.50053956,49.97857793491293,55.17938282440653
1080p,1920,1080,128,128,3,8,1024,50.0,is,gaussian,12379320.0,0.2384766,accelergy_plugin,25359945.0,0.5474555999999999,48.81445917962361,43.56090247318687
1080p,1920,1080,128,128,3,8,1024,50.0,is,sobel,12980625.0,0.30897899999999995,accelergy_plugin,25359945.0,0.5474555999999999,51.18554082037639,56.43909752681313
1080p,1920,1080,128,128,3,8,1024,50.0,os,gaussian,6376215.0,0.25092495,accelergy_plugin,12793935.0,0.5557635000000001,49.837794236097025,45.149591507898585
1080p,1920,1080,128,128,3,8,1024,50.0,os,sobel,6417720.0,0.30483855000000004,accelergy_plugin,12793935.0,0.5557635000000001,50.162205763902975,54.85040849210141
1080p,1920,1080,128,128,3,8,1024,50.0,ws,gaussian,4836825.0,0.23120892,accelergy_plugin,9756555.0,0.5142675600000001,49.575131796007916,44.9588770483598
1080p,1920,1080,128,128,3,8,1024,50.0,ws,sobel,4919730.0,0.28305864000000003,accelergy_plugin,9756555.0,0.5142675600000001,50.42486820399209,55.04112295164019
1080p,1920,1080,128,128,3,8,1024,200.0,is,gaussian,12037095.0,0.23850960000000002,accelergy_plugin,24613350.0,0.5475216,48.90474071997514,43.56167866254044
1080p,1920,1080,128,128,3,8,1024,200.0,is,sobel,12576255.0,0.309012,accelergy_plugin,24613350.0,0.5475216,51.09525928002486,56.43832133745956
1080p,1920,1080,128,128,3,8,1024,200.0,os,gaussian,6065115.0,0.2509512,accelergy_plugin,12140610.0,0.555816,49.95725091243356,45.15004965672093
1080p,1920,1080,128,128,3,8,1024,200.0,os,sobel,6075495.0,0.3048648,accelergy_plugin,12140610.0,0.555816,50.04274908756644,54.849950343279076
1080p,1920,1080,128,128,3,8,1024,200.0,ws,gaussian,4323960.0,0.23124192,accelergy_plugin,8668680.0,0.51433356,49.88025858608231,44.95952393229017
1080p,1920,1080,128,128,3,8,1024,200.0,ws,sobel,4344720.0,0.28309164,accelergy_plugin,8668680.0,0.51433356,50.11974141391769,55.04047606770983
1080p,1920,1080,128,128,3,8,1024,800.0,is,gaussian,11951535.0,0.2386416,accelergy_plugin,24426660.0,0.5477856000000001,48.92824070093906,43.56478154956975
1080p,1920,1080,128,128,3,8,1024,800.0,is,sobel,12475125.0,0.30914400000000003,accelergy_plugin,24426660.0,0.5477856000000001,51.07175929906095,56.435218450430234
1080p,1920,1080,128,128,3,8,1024,800.0,os,gaussian,5987400.0,0.2510832,accelergy_plugin,11977335.0,0.55608,49.989417512326405,45.15235217954251
1080p,1920,1080,128,128,3,8,1024,800.0,os,sobel,5989935.0,0.3049968,accelergy_plugin,11977335.0,0.55608,50.010582487673595,54.84764782045749
1080p,1920,1080,128,128,3,8,1024,800.0,ws,gaussian,4195740.0,0.23140091999999998,accelergy_plugin,8396670.0,0.51465156,49.96909489118901,44.96263841112227
1080p,1920,1080,128,128,3,8,1024,800.0,ws,sobel,4200930.0,0.28325064,accelergy_plugin,8396670.0,0.51465156,50.030905108811,55.03736158887772
1080p,1920,1080,128,128,3,8,4096,50.0,is,gaussian,12379320.0,0.2384766,accelergy_plugin,25359945.0,0.5474555999999999,48.81445917962361,43.56090247318687
1080p,1920,1080,128,128,3,8,4096,50.0,is,sobel,12980625.0,0.30897899999999995,accelergy_plugin,25359945.0,0.5474555999999999,51.18554082037639,56.43909752681313
1080p,1920,1080,128,128,3,8,4096,50.0,os,gaussian,6376215.0,0.25092495,accelergy_plugin,12793935.0,0.5557635000000001,49.837794236097025,45.149591507898585
1080p,1920,1080,128,128,3,8,4096,50.0,os,sobel,6417720.0,0.30483855000000004,accelergy_plugin,12793935.0,0.5557635000000001,50.162205763902975,54.85040849210141
1080p,1920,1080,128,128,3,8,4096,50.0,ws,gaussian,4899465.0,0.23434092,accelergy_plugin,9881835.0,0.52053156,49.580518193230304,45.019541178252474
1080p,1920,1080,128,128,3,8,4096,50.0,ws,sobel,4982370.0,0.28619064,accelergy_plugin,9881835.0,0.52053156,50.419481806769696,54.980458821747526
1080p,1920,1080,128,128,3,8,4096,200.0,is,gaussian,12037095.0,0.23850960000000002,accelergy_plugin,24613350.0,0.5475216,48.90474071997514,43.56167866254044
1080p,1920,1080,128,128,3,8,4096,200.0,is,sobel,12576255.0,0.309012,accelergy_plugin,24613350.0,0.5475216,51.09525928002486,56.43832133745956
1080p,1920,1080,128,128,3,8,4096,200.0,os,gaussian,6065115.0,0.2509512,accelergy_plugin,12140610.0,0.555816,49.95725091243356,45.15004965672093
1080p,1920,1080,128,128,3,8,4096,200.0,os,sobel,6075495.0,0.3048648,accelergy_plugin,12140610.0,0.555816,50.04274908756644,54.849950343279076
1080p,1920,1080,128,128,3,8,4096,200.0,ws,gaussian,4339560.0,0.23436192,accelergy_plugin,8699880.0,0.52057356,49.88068800948979,45.01994300286784
1080p,1920,1080,128,128,3,8,4096,200.0,ws,sobel,4360320.0,0.28621164,accelergy_plugin,8699880.0,0.52057356,50.11931199051022,54.980056997132166
