resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,128,1024,50.0,is,13296135.0,0.0,55987200,43983000.0,37324800.0,437400.0,6220800.0,43618050.0,37336500.0,60750.0,6220800.0,55987200.0,298598400.0,3499200.0,43545600.0,345643200.0,37336500.0,60750.0,6220800.0,43618050.0,445248450.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.296135000000001,16384,217843875840.0,0.0,0.44524845,5.920083499740751,0.0133574535,33,True,0.013492377272727275
1080p,1920,1080,128,128,3,128,1024,50.0,is,13296135.0,0.0,55987200,43983000.0,37324800.0,437400.0,6220800.0,43618050.0,37336500.0,60750.0,6220800.0,55987200.0,298598400.0,3499200.0,43545600.0,345643200.0,37336500.0,60750.0,6220800.0,43618050.0,445248450.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.296135000000001,16384,217843875840.0,0.0,0.44524845,5.920083499740751,0.0133574535,100,True,0.0044524845
1080p,1920,1080,128,128,3,128,1024,50.0,is,13296135.0,0.0,55987200,43983000.0,37324800.0,437400.0,6220800.0,43618050.0,37336500.0,60750.0,6220800.0,55987200.0,298598400.0,3499200.0,43545600.0,345643200.0,37336500.0,60750.0,6220800.0,43618050.0,445248450.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.296135000000001,16384,217843875840.0,0.0,0.44524845,5.920083499740751,0.0133574535,200,True,0.00222624225
1080p,1920,1080,128,128,5,128,4096,50.0,is,13959570.0,0.0,89164800,77419800.0,70502400.0,696600.0,6220800.0,76789800.0,70508250.0,60750.0,6220800.0,89164800.0,564019200.0,5572800.0,43545600.0,613137600.0,70508250.0,60750.0,6220800.0,76789800.0,779092200.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.95957,16384,228713594880.0,0.0,0.7790922,10.875792102354,0.023372766,33,True,0.023608854545454548
1080p,1920,1080,128,128,5,128,4096,50.0,is,13959570.0,0.0,89164800,77419800.0,70502400.0,696600.0,6220800.0,76789800.0,70508250.0,60750.0,6220800.0,89164800.0,564019200.0,5572800.0,43545600.0,613137600.0,70508250.0,60750.0,6220800.0,76789800.0,779092200.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.95957,16384,228713594880.0,0.0,0.7790922,10.875792102354,0.023372766,100,True,0.007790922
1080p,1920,1080,128,128,5,128,4096,50.0,is,13959570.0,0.0,89164800,77419800.0,70502400.0,696600.0,6220800.0,76789800.0,70508250.0,60750.0,6220800.0,89164800.0,564019200.0,5572800.0,43545600.0,613137600.0,70508250.0,60750.0,6220800.0,76789800.0,779092200.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.95957,16384,228713594880.0,0.0,0.7790922,10.875792102354,0.023372766,200,True,0.003895461
1080p,1920,1080,128,128,7,64,256,50.0,ws,4640565.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,133951050.0,127224000.0,506250.0,6220800.0,138931200.0,962150400.0,72360.0,43545600.0,1005768360.0,127224000.0,506250.0,6220800.0,133951050.0,1278650610.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.6405650000000005,4096,19007754240.0,0.0,1.27865061,5.93366126799465,0.0383595183,33,True,0.03874698818181818
1080p,1920,1080,128,128,7,64,256,50.0,ws,4640565.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,133951050.0,127224000.0,506250.0,6220800.0,138931200.0,962150400.0,72360.0,43545600.0,1005768360.0,127224000.0,506250.0,6220800.0,133951050.0,1278650610.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.6405650000000005,4096,19007754240.0,0.0,1.27865061,5.93366126799465,0.0383595183,100,True,0.0127865061
1080p,1920,1080,128,128,7,64,256,50.0,ws,4640565.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,133951050.0,127224000.0,506250.0,6220800.0,138931200.0,962150400.0,72360.0,43545600.0,1005768360.0,127224000.0,506250.0,6220800.0,133951050.0,1278650610.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.6405650000000005,4096,19007754240.0,0.0,1.27865061,5.93366126799465,0.0383595183,200,True,0.00639325305
1080p,1920,1080,128,128,11,128,256,50.0,ws,7616715.0,2924310.0,288230400,275807565.0,269568000.0,18765.0,6220800.0,284720550.0,276535500.0,1964250.0,6220800.0,288230400.0,2156544000.0,150120.0,43545600.0,2200239720.0,276535500.0,1964250.0,6220800.0,284720550.0,2773190670.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,7.616714999999999,16384,124792258560.0,38.39332310582712,2.77319067,21.122602974049048,0.0831957201,33,True,0.08403608090909091
