resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,16,256,800.0,ws,4186905.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52612800.0,46176000.0,216000.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,46176000.0,216000.0,6220800.0,52612800.0,450773160.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.186905,256,1071847680.0,0.0,0.45077316,1.8873443974698,0.0135231948,33,True,0.013659792727272729
1080p,1920,1080,128,128,3,16,256,200.0,ws,4269870.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52294800.0,46020000.0,54000.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,46020000.0,54000.0,6220800.0,52294800.0,450455160.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.26987,256,1093086720.0,0.0,0.45045516,1.9233849740292002,0.0135136548,33,True,0.013650156363636364
1080p,1920,1080,128,128,3,32,256,100.0,ws,4393350.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52243800.0,45942000.0,81000.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,45942000.0,81000.0,6220800.0,52243800.0,450404160.0,0.054675,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.39335,1024,4498790400.0,0.0,0.45040416,1.978783116336,0.0135121248,33,True,0.01364861090909091
1080p,1920,1080,128,128,3,16,256,50.0,ws,4601685.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52203300.0,45942000.0,40500.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,45942000.0,40500.0,6220800.0,52203300.0,450363660.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.601685000000001,256,1178031360.0,0.0,0.45036366,2.0724316987671,0.0135109098,33,True,0.013647383636363638
1080p,1920,1080,128,128,3,64,1024,800.0,is,12463335.0,0.0,55987200,44420400.0,37324800.0,874800.0,6220800.0,43900800.0,37464000.0,216000.0,6220800.0,55987200.0,298598400.0,6998400.0,43545600.0,349142400.0,37464000.0,216000.0,6220800.0,43900800.0,449030400.0,0.01366875,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.463335,4096,51049820160.0,0.0,0.4490304,5.596416300384,0.013470912,33,True,0.013606981818181818
1080p,1920,1080,128,128,3,128,1024,800.0,is,12479535.0,0.0,55987200,43983000.0,37324800.0,437400.0,6220800.0,43900800.0,37464000.0,216000.0,6220800.0,55987200.0,298598400.0,3499200.0,43545600.0,345643200.0,37464000.0,216000.0,6220800.0,43900800.0,445531200.0,0.0034171875,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.479535,16384,204464701440.0,0.0,0.4455312,5.560022203992,0.013365936,33,True,0.013500945454545455
1080p,1920,1080,128,128,3,128,1024,200.0,is,12642810.0,0.0,55987200,43983000.0,37324800.0,437400.0,6220800.0,43663800.0,37362000.0,81000.0,6220800.0,55987200.0,298598400.0,3499200.0,43545600.0,345643200.0,37362000.0,81000.0,6220800.0,43663800.0,445294200.0,0.010368,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.64281,16384,207139799040.0,0.0,0.4452942,5.629769964702,0.013358826,33,True,0.013493763636363638
1080p,1920,1080,128,128,3,128,1024,100.0,is,12860520.0,0.0,55987200,43983000.0,37324800.0,437400.0,6220800.0,43626300.0,37338000.0,67500.0,6220800.0,55987200.0,298598400.0,3499200.0,43545600.0,345643200.0,37338000.0,67500.0,6220800.0,43626300.0,445256700.0,0.020736,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.860520000000001,16384,210706759680.0,0.0,0.4452567,5.726232695484001,0.013357701,33,True,0.013492627272727273
1080p,1920,1080,128,128,3,128,1024,50.0,is,13296135.0,0.0,55987200,43983000.0,37324800.0,437400.0,6220800.0,43618050.0,37336500.0,60750.0,6220800.0,55987200.0,298598400.0,3499200.0,43545600.0,345643200.0,37336500.0,60750.0,6220800.0,43618050.0,445248450.0,0.041472,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.296135000000001,16384,217843875840.0,0.0,0.44524845,5.920083499740751,0.0133574535,33,True,0.013492377272727275
1080p,1920,1080,128,128,3,16,256,800.0,ws,4186905.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52612800.0,46176000.0,216000.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,46176000.0,216000.0,6220800.0,52612800.0,450773160.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.186905,256,1071847680.0,0.0,0.45077316,1.8873443974698,0.0135231948,100,True,0.0045077316
