run_name,status,seconds,resolution,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,tile_class,stdout_tail,stderr_tail,max_rss_gb
run_0afe1c17ac94,rss_limit,19.241,720p,11,32,256,200.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.097
run_103925a352b4,completed,14.124,720p,11,64,4096,50.0,is,full,completed run_103925a352b4,,3.207
run_11914da1d756,completed,6.070,1080p,11,64,4096,200.0,is,bottom_edge,completed run_11914da1d756,,1.358
run_12ac03da7ffd,rss_limit,50.505,720p,11,16,256,50.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.306
run_14b02c2dba08,rss_limit,23.247,720p,11,32,1024,200.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.326
run_189dfdf1c140,completed,25.230,1080p,11,8,4096,800.0,is,bottom_edge,completed run_189dfdf1c140,,1.620
run_1b5079e929c0,completed,9.087,1080p,11,32,1024,50.0,is,bottom_edge,completed run_1b5079e929c0,,1.952
run_207f74a604ef,completed,4.047,1080p,7,32,4096,800.0,is,bottom_edge,completed run_207f74a604ef,,0.763
run_224d63f60b04,rss_limit,11.156,720p,11,64,1024,50.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.231
run_2368c451571e,completed,3.038,1080p,7,64,1024,200.0,is,bottom_edge,completed run_2368c451571e,,0.692
run_2376f032cc62,rss_limit,8.145,1080p,11,32,256,50.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.958
run_27df94e4058c,completed,5.043,1080p,11,128,1024,800.0,is,bottom_edge,completed run_27df94e4058c,,1.877
run_290db3aaba6b,rss_limit,5.121,1080p,11,64,256,50.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.723
run_2944a9341d00,completed,65.563,720p,11,16,4096,800.0,is,full,completed run_2944a9341d00,,3.356
run_29bce550aa09,rss_limit,21.240,1080p,11,8,256,50.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.229
run_2a22baab4558,rss_limit,22.259,1080p,11,8,256,800.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.770
run_2a6ec000b3c8,rss_limit,4.105,720p,11,128,256,200.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.322
run_2ad88446fe25,completed,8.077,1080p,11,32,4096,800.0,is,bottom_edge,completed run_2ad88446fe25,,1.522
run_2c8f84abd893,rss_limit,57.550,720p,11,16,1024,50.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.279
run_2e0ec328cf4c,rss_limit,24.269,720p,11,32,1024,50.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.433
run_317992c5d8b8,completed,3.034,1080p,7,64,1024,800.0,is,bottom_edge,completed run_317992c5d8b8,,0.691
run_31f3ff7a26f3,completed,9.094,720p,11,128,4096,200.0,is,full,completed run_31f3ff7a26f3,,2.014
