resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,reason
720p,1280,720,128,128,11,64,256,50.0,is,run_5cdbeaed6c83,915e34944290,5cdbeaed6c83,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,64,256,50.0,is,run_5cdbeaed6c83,d54c9538637f,5cdbeaed6c83,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,64,256,50.0,is,run_5cdbeaed6c83,afaac1f62657,5cdbeaed6c83,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,8,256,50.0,is,run_29bce550aa09,0f44a3751ed3,29bce550aa09,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,64,256,200.0,is,run_5ded5fd7e601,9a1b6f92ac09,5ded5fd7e601,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,64,256,200.0,is,run_5ded5fd7e601,a25a501abc11,5ded5fd7e601,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,64,256,200.0,is,run_5ded5fd7e601,d8dd43f12598,5ded5fd7e601,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,64,256,800.0,is,run_beaabf89b684,5e9a706c11e1,beaabf89b684,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,64,1024,50.0,is,run_224d63f60b04,15cfeaa79b2d,224d63f60b04,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,64,1024,50.0,is,run_224d63f60b04,8c93b7e77297,224d63f60b04,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
