resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_sram_ifmap_reads,scaled_sram_filter_reads,scaled_sram_ofmap_writes,scaled_dram_accesses,scaled_dram_ifmap_reads,scaled_dram_filter_reads,scaled_dram_ofmap_writes,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_read_pj_per_access,sram_write_pj_per_access,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,energy_total_mj
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,128,128,50,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,33868.0,33663.0,0.0,1693400.0,0.0,7372800,9888000.0,7372800.0,57600.0,2457600.0,8299200.0,7400000.0,80000.0,819200.0,0.0267355850637198,0.78125,0.0267347908745246,0.0015187500000000001,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,1695744.0,155462123.52,1214547.84,42192015.36,198868686.72000003,1184000000.0,12800000.0,131072000.0,1327872000.0,1528436430.72,1.52843643072
720p,1280,720,128,128,3,128,4096,800.0,os,run_000bc31c040e,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33888.0,33663.0,0.0,1694400.0,0.0,14745600,10764800.0,7372800.0,115200.0,3276800.0,9118400.0,7400000.0,80000.0,1638400.0,0.0534711701274396,1.5625,0.0534695817490493,0.0015187500000000001,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,3391488.0,155462123.52,2429095.68,56256020.48,214147239.68,1184000000.0,12800000.0,262144000.0,1458944000.0,1676482727.68,1.67648272768
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,128,128,120,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,33868.0,33663.0,0.0,4064160.0,0.0,17694720,23731200.0,17694720.0,138240.0,5898240.0,19918080.0,17760000.0,192000.0,1966080.0,0.0267355850637198,0.78125,0.0267347908745246,0.0034171875,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,4069785.6,373109096.448,2914914.816,101260836.864,477284848.128,2841600000.0,30720000.0,314572800.0,3186892800.0,3668247433.728,3.668247433728
1080p,1920,1080,128,128,3,128,4096,800.0,os,run_000bc31c040e,8dd994fc8600,cf8a272099f0,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33888.0,33663.0,0.0,4066560.0,0.0,35389440,25835520.0,17694720.0,276480.0,7864320.0,21884160.0,17760000.0,192000.0,3932160.0,0.0534711701274396,1.5625,0.0534695817490493,0.0034171875,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,8139571.2,373109096.448,5829829.632,135014449.15199998,513953375.232,2841600000.0,30720000.0,629145600.0,3501465600.0,4023558546.432,4.0235585464320005
hires,2048,2048,128,128,3,128,4096,800.0,os,run_000bc31c040e,5b026b93f508,cf8a272099f0,full,128,128,256,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,33868.0,33663.0,0.0,8670208.0,0.0,37748736,50626560.0,37748736.0,294912.0,12582912.0,42491904.0,37888000.0,409600.0,4194304.0,0.0267355850637198,0.78125,0.0267347908745246,0.006912,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,8682209.280000001,795966072.4224001,6218484.940800001,216023118.64319998,1018207676.0064001,6062080000.0,65536000.0,671088640.0,6798704640.0,7825594525.2864,7.8255945252864
hires,2048,2048,128,128,3,128,4096,800.0,os,run_000bc31c040e,5b026b93f508,cf8a272099f0,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33888.0,33663.0,0.0,8675328.0,0.0,75497472,55115776.0,37748736.0,589824.0,16777216.0,46686208.0,37888000.0,409600.0,8388608.0,0.0534711701274396,1.5625,0.0534695817490493,0.006912,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,17364418.560000002,795966072.4224001,12436969.881600002,288030824.8576,1096433867.1616,6062080000.0,65536000.0,1342177280.0,7469793280.0,8583591565.7216,8.5835915657216
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,22651.0,22319.0,0.0,226510.0,0.0,2560000,2887200.0,2560000.0,20000.0,307200.0,2694400.0,2560000.0,32000.0,102400.0,0.0700076168287109,0.78125,0.0700044802867382,0.00241875,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,588800.0,53979904.00000001,421718.00000000006,5274001.92,59675623.92000001,409600000.0,5120000.0,16384000.0,431104000.0,491368423.92,0.49136842392
720p,1280,720,128,128,5,128,4096,800.0,os,run_001faac130a6,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,21180.0,21039.0,0.0,211800.0,0.0,1843200,1345600.0,921600.0,14400.0,409600.0,1148800.0,928000.0,16000.0,204800.0,0.0534721231997718,1.5625,0.0534695817490493,0.00241875,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,423936.0,19432765.44,303636.96,7032002.56,26768404.96,148480000.0,2560000.0,32768000.0,183808000.0,211000340.96,0.21100034096
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,128,56,15,gaussian_k3,gaussian,7168,1,9,64512,7540,7168,11992.0,7261.0,0.0,179880.0,0.0,967680,1075335.0,967680.0,135.0,107520.0,3553020.0,3441000.0,4500.0,107520.0,0.867649084148189,0.87890625,0.8638420403126285,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,222566.40000000002,20404403.712,2846.5965,1845900.6719999998,22253150.9805,550560000.0,720000.0,17203200.0,568483200.0,590958917.3805,0.5909589173805
1080p,1920,1080,128,128,3,32,4096,50.0,ws,run_002141774b7c,a59d12d80653,002141774b7c,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,12135.0,7261.0,0.0,182025.0,0.0,1935360,1182990.0,967680.0,270.0,215040.0,3660540.0,3441000.0,4500.0,215040.0,1.735298168296378,1.7578125,1.727684080625257,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,84.34360000000001,68.6719,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,445132.80000000005,20404403.712,5693.193,3691801.3439999996,24101898.249,550560000.0,720000.0,34406400.0,585686400.0,610233431.049,0.6102334310490001
