resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,energy_backend,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,8,256,50.0,os,gaussian,6161880.0,9.83495293272,accelergy,12365265.0,20.030896420559998,49.832171004826826,49.098915626288516
1080p,1920,1080,128,128,3,8,256,50.0,os,sobel,6203385.0,10.19594348784,accelergy,12365265.0,20.030896420559998,50.16782899517317,50.90108437371149
1080p,1920,1080,128,128,3,8,256,50.0,ws,gaussian,4394925.0,4.487414732896125,accelergy,8731515.0,9.661793570208374,50.334048558583476,46.4449452401139
1080p,1920,1080,128,128,3,8,256,50.0,ws,sobel,4336590.0,5.17437883731225,accelergy,8731515.0,9.661793570208374,49.665951441416524,53.55505475988611
1080p,1920,1080,128,128,3,8,256,200.0,os,gaussian,6011535.0,9.85295293272,accelergy,12033450.0,20.06689642056,49.956870224249904,49.100532171108085
1080p,1920,1080,128,128,3,8,256,200.0,os,sobel,6021915.0,10.213943487839998,accelergy,12033450.0,20.06689642056,50.043129775750096,50.89946782889191
1080p,1920,1080,128,128,3,8,256,200.0,ws,gaussian,4213455.0,4.495814732896124,accelergy,8412390.0,9.678593570208374,50.08630127704493,46.451116066436214
1080p,1920,1080,128,128,3,8,256,200.0,ws,sobel,4198935.0,5.18277883731225,accelergy,8412390.0,9.678593570208374,49.91369872295507,53.548883933563786
1080p,1920,1080,128,128,3,8,256,800.0,os,gaussian,5973975.0,9.897592932719999,accelergy,11950485.0,20.15617642056,49.98939373590277,49.104516284269614
1080p,1920,1080,128,128,3,8,256,800.0,os,sobel,5976510.0,10.258583487840001,accelergy,11950485.0,20.15617642056,50.010606264097234,50.89548371573037
1080p,1920,1080,128,128,3,8,256,800.0,ws,gaussian,4168050.0,4.521254732896125,accelergy,8332530.0,9.729473570208373,50.02142206508707,46.46967485209269
1080p,1920,1080,128,128,3,8,256,800.0,ws,sobel,4164480.0,5.208218837312249,accelergy,8332530.0,9.729473570208373,49.97857793491293,53.53032514790732
1080p,1920,1080,128,128,3,8,1024,50.0,os,gaussian,6376215.0,3.59693998344,accelergy,12793935.0,7.57238055768,49.837794236097025,47.50078203335858
1080p,1920,1080,128,128,3,8,1024,50.0,os,sobel,6417720.0,3.97544057424,accelergy,12793935.0,7.57238055768,50.162205763902975,52.49921796664142
1080p,1920,1080,128,128,3,8,1024,50.0,ws,gaussian,4836825.0,5.7068162876013755,accelergy,9756555.0,12.118188976084124,49.575131796007916,47.092979807990076
1080p,1920,1080,128,128,3,8,1024,50.0,ws,sobel,4919730.0,6.411372688482749,accelergy,9756555.0,12.118188976084124,50.42486820399209,52.90702019200994
1080p,1920,1080,128,128,3,8,1024,200.0,os,gaussian,6065115.0,3.60113998344,accelergy,12140610.0,7.58078055768,49.95725091243356,47.503551330103164
1080p,1920,1080,128,128,3,8,1024,200.0,os,sobel,6075495.0,3.97964057424,accelergy,12140610.0,7.58078055768,50.04274908756644,52.496448669896836
1080p,1920,1080,128,128,3,8,1024,200.0,ws,gaussian,4323960.0,5.712096287601375,accelergy,8668680.0,12.128748976084125,49.88025858608231,47.0955108302157
1080p,1920,1080,128,128,3,8,1024,200.0,ws,sobel,4344720.0,6.41665268848275,accelergy,8668680.0,12.128748976084125,50.11974141391769,52.9044891697843
1080p,1920,1080,128,128,3,8,1024,800.0,os,gaussian,5987400.0,3.6222599834399998,accelergy,11977335.0,7.62302055768,49.989417512326405,47.517384428284984
1080p,1920,1080,128,128,3,8,1024,800.0,os,sobel,5989935.0,4.00076057424,accelergy,11977335.0,7.62302055768,50.010582487673595,52.48261557171501
1080p,1920,1080,128,128,3,8,1024,800.0,ws,gaussian,4195740.0,5.737536287601376,accelergy,8396670.0,12.179628976084125,49.96909489118901,47.107644238322706
1080p,1920,1080,128,128,3,8,1024,800.0,ws,sobel,4200930.0,6.44209268848275,accelergy,8396670.0,12.179628976084125,50.030905108811,52.8923557616773
1080p,1920,1080,128,128,3,8,4096,50.0,os,gaussian,6376215.0,3.8746495785599997,accelergy,12793935.0,8.170156209599998,49.837794236097025,47.42442468856661
1080p,1920,1080,128,128,3,8,4096,50.0,os,sobel,6417720.0,4.295506631039999,accelergy,12793935.0,8.170156209599998,50.162205763902975,52.5755753114334
1080p,1920,1080,128,128,3,8,4096,50.0,ws,gaussian,4899465.0,6.443302497448499,accelergy,9881835.0,13.625673992185499,49.580518193230304,47.28795435105682
1080p,1920,1080,128,128,3,8,4096,50.0,ws,sobel,4982370.0,7.182371494737,accelergy,9881835.0,13.625673992185499,50.419481806769696,52.71204564894318
1080p,1920,1080,128,128,3,8,4096,200.0,os,gaussian,6065115.0,3.87884957856,accelergy,12140610.0,8.1785562096,49.95725091243356,47.42707000053385
1080p,1920,1080,128,128,3,8,4096,200.0,os,sobel,6075495.0,4.29970663104,accelergy,12140610.0,8.1785562096,50.04274908756644,52.572929999466155
