resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,385319773.44000006,18061864.380000003,128448270.72000001,531829908.5400001,5973840000.0,12960000.0,995328000.0,6982128000.0,7526834964.54,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,10.072335,0.0,7.52683496454,75.81280325256,0.22580504893620001,33,True,0.22808590801636364
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,385319773.44000006,18061864.380000003,128448270.72000001,531829908.5400001,5973840000.0,12960000.0,995328000.0,6982128000.0,7526834964.54,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,10.072335,0.0,7.52683496454,75.81280325256,0.22580504893620001,100,True,0.0752683496454
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,385319773.44000006,18061864.380000003,128448270.72000001,531829908.5400001,5973840000.0,12960000.0,995328000.0,6982128000.0,7526834964.54,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,10.072335,0.0,7.52683496454,75.81280325256,0.22580504893620001,200,True,0.0376341748227
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12156960000.0,23760000.0,995328000.0,13176048000.0,13689666362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.614644999999999,0.0,13.689666362130374,63.172950429673115,0.4106899908639113,33,True,0.41483837461001133
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12156960000.0,23760000.0,995328000.0,13176048000.0,13689666362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.614644999999999,0.0,13.689666362130374,63.172950429673115,0.4106899908639113,100,True,0.13689666362130373
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12156960000.0,23760000.0,995328000.0,13176048000.0,13689666362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.614644999999999,0.0,13.689666362130374,63.172950429673115,0.4106899908639113,200,True,0.06844833181065187
1080p,1920,1080,128,128,7,64,256,50.0,ws,4640565.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,133951050.0,127224000.0,506250.0,6220800.0,31954176.0,792219605.76,59580.093375000004,28667623.68,820946809.5333751,20355840000.0,81000000.0,995328000.0,21432168000.0,22285068985.533375,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.6405650000000005,0.0,22.285068985533375,103.4153111568517,0.6685520695660012,33,True,0.6753051207737386
1080p,1920,1080,128,128,7,64,256,50.0,ws,4640565.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,133951050.0,127224000.0,506250.0,6220800.0,31954176.0,792219605.76,59580.093375000004,28667623.68,820946809.5333751,20355840000.0,81000000.0,995328000.0,21432168000.0,22285068985.533375,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.6405650000000005,0.0,22.285068985533375,103.4153111568517,0.6685520695660012,100,True,0.22285068985533374
1080p,1920,1080,128,128,7,64,256,50.0,ws,4640565.0,0.0,138931200,126498645.0,120268800.0,9045.0,6220800.0,133951050.0,127224000.0,506250.0,6220800.0,31954176.0,792219605.76,59580.093375000004,28667623.68,820946809.5333751,20355840000.0,81000000.0,995328000.0,21432168000.0,22285068985.533375,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.6405650000000005,0.0,22.285068985533375,103.4153111568517,0.6685520695660012,200,True,0.11142534492766687
1080p,1920,1080,128,128,11,128,256,50.0,ws,7616715.0,2924310.0,288230400,275807565.0,269568000.0,18765.0,6220800.0,284720550.0,276535500.0,1964250.0,6220800.0,66292992.00000001,1775664633.6000001,123606.462375,28667623.68,1804455863.7423751,44245680000.0,314280000.0,995328000.0,45555288000.0,47426036855.74237,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,7.616714999999999,38.39332310582712,47.42603685574237,361.2306063096857,1.422781105672271,33,True,1.437152631992193
1080p,1920,1080,128,128,11,128,256,50.0,ws,7616715.0,2924310.0,288230400,275807565.0,269568000.0,18765.0,6220800.0,284720550.0,276535500.0,1964250.0,6220800.0,66292992.00000001,1775664633.6000001,123606.462375,28667623.68,1804455863.7423751,44245680000.0,314280000.0,995328000.0,45555288000.0,47426036855.74237,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,7.616714999999999,38.39332310582712,47.42603685574237,361.2306063096857,1.422781105672271,100,True,0.4742603685574237
1080p,1920,1080,128,128,11,128,256,50.0,ws,7616715.0,2924310.0,288230400,275807565.0,269568000.0,18765.0,6220800.0,284720550.0,276535500.0,1964250.0,6220800.0,66292992.00000001,1775664633.6000001,123606.462375,28667623.68,1804455863.7423751,44245680000.0,314280000.0,995328000.0,45555288000.0,47426036855.74237,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,7.616714999999999,38.39332310582712,47.42603685574237,361.2306063096857,1.422781105672271,200,True,0.23713018427871185
720p,1280,720,128,128,3,32,1024,50.0,os,4476590.0,0.0,24883200,23817600.0,16588800.0,777600.0,6451200.0,19394800.0,16594000.0,36000.0,2764800.0,5723136.0,171253232.64000002,8027495.28,57088120.32000001,236368848.24,2655040000.0,5760000.0,442368000.0,3103168000.0,3345259984.24,0.024300000000000002,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,4.47659,0.0,3.3452599842399997,14.97535739284894,0.1003577995272,33,True,0.10137151467393939
720p,1280,720,128,128,3,32,1024,50.0,os,4476590.0,0.0,24883200,23817600.0,16588800.0,777600.0,6451200.0,19394800.0,16594000.0,36000.0,2764800.0,5723136.0,171253232.64000002,8027495.28,57088120.32000001,236368848.24,2655040000.0,5760000.0,442368000.0,3103168000.0,3345259984.24,0.024300000000000002,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,4.47659,0.0,3.3452599842399997,14.97535739284894,0.1003577995272,100,True,0.033452599842399997
720p,1280,720,128,128,3,32,1024,50.0,os,4476590.0,0.0,24883200,23817600.0,16588800.0,777600.0,6451200.0,19394800.0,16594000.0,36000.0,2764800.0,5723136.0,171253232.64000002,8027495.28,57088120.32000001,236368848.24,2655040000.0,5760000.0,442368000.0,3103168000.0,3345259984.24,0.024300000000000002,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,4.47659,0.0,3.3452599842399997,14.97535739284894,0.1003577995272,200,True,0.016726299921199998
720p,1280,720,128,128,5,32,256,50.0,ws,2050950.0,0.0,39628800,34101780.0,31334400.0,2580.0,2764800.0,36403800.0,33573000.0,66000.0,2764800.0,9114624.0,206402042.88,16994.6535,12741166.08,219160203.6135,5371680000.0,10560000.0,442368000.0,5824608000.0,6052882827.613501,0.0387,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,2.0509500000000003,0.0,6.052882827613501,12.41416003529391,0.18158648482840503,33,True,0.18342069174586367
