resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps
1080p,1920,1080,128,128,3,8,256,50.0,os,12365265.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,122869800.0,116622000.0,27000.0,6220800.0,12877056.0,245861256.96,46098985.68,66891121.919999994,358851364.56,18659520000.0,4320000.0,995328000.0,19659168000.0,20030896420.559998,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,12.365265,0.0,20.030896420559998,247.68734242777583,0.6009268926167999
1080p,1920,1080,128,128,3,8,256,50.0,ws,8731515.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58410600.0,45942000.0,27000.0,12441600.0,12877056.0,245861256.96,24009.888375000002,57335247.36,303220514.208375,7350720000.0,4320000.0,1990656000.0,9345696000.0,9661793570.208374,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,8.731515,0.0,9.661793570208374,84.36209548517797,0.2898538071062512
1080p,1920,1080,128,128,3,8,256,200.0,os,12033450.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123094800.0,116820000.0,54000.0,6220800.0,12877056.0,245861256.96,46098985.68000001,66891121.919999994,358851364.56,18691200000.0,8640000.0,995328000.0,19695168000.0,20066896420.559998,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,12.03345,0.0,20.06689642056,241.47399473198772,0.6020068926168
1080p,1920,1080,128,128,3,8,256,200.0,ws,8412390.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58515600.0,46020000.0,54000.0,12441600.0,12877056.0,245861256.96,24009.888375000002,57335247.35999999,303220514.208375,7363200000.0,8640000.0,1990656000.0,9362496000.0,9678593570.208374,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,8.41239,0.0,9.678593570208374,81.42010376408523,0.2903578071062512
1080p,1920,1080,128,128,3,8,256,800.0,os,11950485.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,123652800.0,117216000.0,216000.0,6220800.0,12877056.0,245861256.96,46098985.68,66891121.919999994,358851364.56,18754560000.0,34560000.0,995328000.0,19784448000.0,20156176420.559998,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,11.950485,0.0,20.156176420559998,240.87608397125595,0.6046852926167999
1080p,1920,1080,128,128,3,8,256,800.0,ws,8332530.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,58833600.0,46176000.0,216000.0,12441600.0,12877056.0,245861256.96,24009.888375000002,57335247.35999999,303220514.208375,7388160000.0,34560000.0,1990656000.0,9413376000.0,9729473570.208374,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,8.33253,0.0,9.729473570208373,81.07113040796838,0.29188420710625124
1080p,1920,1080,128,128,3,8,1024,50.0,os,12793935.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43584300.0,37336500.0,27000.0,6220800.0,12877056.0,385319773.44000006,72247457.52,128448270.72,586015501.6800001,5973840000.0,4320000.0,995328000.0,6973488000.0,7572380557.679999,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,12.793935,0.0,7.572380557679999,96.88054465022165,0.2271714167304
1080p,1920,1080,128,128,3,8,1024,50.0,ws,9756555.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,72561600.0,60093000.0,27000.0,12441600.0,12877056.0,385319773.44000006,37628.884125,110098517.76000002,495455920.08412504,9614880000.0,4320000.0,1990656000.0,11609856000.0,12118188976.084126,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,9.756555,0.0,12.118188976084125,118.23177724555846,0.36354566928252374
1080p,1920,1080,128,128,3,8,1024,200.0,os,12140610.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43636800.0,37362000.0,54000.0,6220800.0,12877056.0,385319773.44000006,72247457.52000001,128448270.72000001,586015501.6800001,5977920000.0,8640000.0,995328000.0,6981888000.0,7580780557.68,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,12.140609999999999,0.0,7.580780557680001,92.03530024637539,0.22742341673040004
1080p,1920,1080,128,128,3,8,1024,200.0,ws,8668680.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,72627600.0,60132000.0,54000.0,12441600.0,12877056.0,385319773.44000006,37628.884125000004,110098517.76000002,495455920.08412504,9621120000.0,8640000.0,1990656000.0,11620416000.0,12128748976.084126,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,8.66868,0.0,12.128748976084125,105.14024367400094,0.36386246928252375
1080p,1920,1080,128,128,3,8,1024,800.0,os,11977335.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43900800.0,37464000.0,216000.0,6220800.0,12877056.0,385319773.44000006,72247457.52,128448270.72,586015501.6800001,5994240000.0,34560000.0,995328000.0,7024128000.0,7623020557.679999,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,11.977335,0.0,7.623020557679999,91.30347093122018,0.2286906167304
1080p,1920,1080,128,128,3,8,1024,800.0,ws,8396670.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,72945600.0,60288000.0,216000.0,12441600.0,12877056.0,385319773.44000006,37628.884125000004,110098517.76000002,495455920.08412504,9646080000.0,34560000.0,1990656000.0,11671296000.0,12179628976.084126,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,8.39667,0.0,12.179628976084125,102.26832523461628,0.36538886928252373
1080p,1920,1080,128,128,3,8,4096,50.0,os,12793935.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43584300.0,37336500.0,27000.0,6220800.0,12877056.0,787027000.32,147567562.56,249196590.71999997,1183791153.6000001,5973840000.0,4320000.0,995328000.0,6973488000.0,8170156209.599999,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,12.793935,0.0,8.1701562096,104.52844748546877,0.24510468628799997
1080p,1920,1080,128,128,3,8,4096,50.0,ws,9881835.0,0.0,55987200,49770045.0,37324800.0,3645.0,12441600.0,78825600.0,66357000.0,27000.0,12441600.0,12877056.0,787027000.32,76858.1055,213597077.75999996,1000700936.1855,10617120000.0,4320000.0,1990656000.0,12612096000.0,13625673992.1855,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,9.881835,0.0,13.625673992185499,134.6466621545684,0.408770219765565
1080p,1920,1080,128,128,3,8,4096,200.0,os,12140610.0,0.0,55987200,58838400.0,37324800.0,6998400.0,14515200.0,43636800.0,37362000.0,54000.0,6220800.0,12877056.0,787027000.32,147567562.56,249196590.71999997,1183791153.6000001,5977920000.0,8640000.0,995328000.0,6981888000.0,8178556209.599999,0.8748,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,12.140609999999999,0.0,8.1785562096,99.29266130383185,0.24535668628799998
